,Year - Month,Carrier,Destination,Departures,Miles,Seats,Passengers,Seat Utilization,Payload (lbs),Freight (lbs),Mail (lbs)
17,2016-05,Sky Regional Airlines Inc. (International),"New York, NY (LGA)",250,"82,254","18,248","15,244",84%,"4,624,449","3,699",0
18,2016-05,SkyWest Airlines Inc. (Domestic),"New York, NY (LGA)",62,"45,446","4,706","4,505",96%,"945,940",0,0
19,2016-05,Southwest Airlines Co. (Domestic),"New York, NY (LGA)",948,"909,471","135,596","126,441",93%,"32,800,000","229,522",0
20,2016-05,Spirit Air Lines (Domestic),"New York, NY (LGA)",335,"283,106","63,578","59,959",94%,"13,050,400",0,0
21,2016-05,"Swift Air, LLC (Domestic)","New York, NY (LGA)",1,"2,495",179,27,15%,"34,700",0,0
22,2016-05,Trans States Airlines (Domestic),"New York, NY (LGA)",728,"353,351","36,400","29,329",81%,"8,093,904",0,0
23,2016-05,United Air Lines Inc. (Domestic),"New York, NY (LGA)",699,"806,826","103,835","95,747",92%,"26,076,354","54,240",0
24,2016-05,Virgin America (Domestic),"New York, NY (LGA)",111,"153,291","13,320","11,730",88%,"4,195,710",0,0
25,2016-05,Westjet (International),"New York, NY (LGA)",209,"74,613","25,657","15,378",60%,"6,239,017",0,0
1,2016-06,Air Canada (International),"New York, NY (LGA)",329,"117,453","40,452","34,853",86%,"10,794,104","5,036",0
2,2016-06,Air Wisconsin Airlines Corp (Domestic),"New York, NY (LGA)",360,"136,934","18,000","15,179",84%,"4,406,400","2,277",0
3,2016-06,American Airlines Inc. (Domestic),"New York, NY (LGA)","2,269","1,520,476","316,247","280,527",89%,"82,125,900","198,935",0
4,2016-06,Ameristar Air Cargo (Domestic),"New York, NY (LGA)",1,762,0,0,-,"21,423",948,0
5,2016-06,Delta Air Lines Inc. (Domestic),"New York, NY (LGA)","2,093","1,746,297","302,771","242,137",80%,"75,564,915","232,456",0
6,2016-06,Endeavor Air Inc. (Domestic),"New York, NY (LGA)","1,475","882,406","101,905","76,692",75%,"28,195,668",441,0
7,2016-06,ExpressJet Airlines Inc. (Domestic),"New York, NY (LGA)","1,229","609,184","75,025","54,357",72%,"19,097,820",693,0
8,2016-06,Frontier Airlines Inc. (Domestic),"New York, NY (LGA)",90,"104,340","16,170","14,962",93%,"3,234,000",0,0
9,2016-06,GoJet Airlines LLC d/b/a United Express (Domestic),"New York, NY (LGA)","1,056","597,461","74,322","52,339",70%,"18,940,540",0,0
10,2016-06,Jazz Aviation LP (International),"New York, NY (LGA)",73,"23,931","3,700","2,426",66%,"1,102,600",0,0
11,2016-06,JetBlue Airways (Domestic),"New York, NY (LGA)",530,"539,487","77,400","65,235",84%,"19,351,600",0,0
12,2016-06,Mesa Airlines Inc. (Domestic),"New York, NY (LGA)",61,"23,465","4,318","4,142",96%,"1,123,380",0,0
13,2016-06,PSA Airlines Inc. (Domestic),"New York, NY (LGA)",144,"66,081","7,789","6,280",81%,"1,970,740",875,0
14,2016-06,Republic Airlines (Domestic),"New York, NY (LGA)",956,"665,673","72,810","62,292",86%,"20,781,315",0,0
15,2016-06,Republic Airlines (Latin America),"New York, NY (LGA)",55,"19,635","4,188","2,800",67%,"1,199,165",0,0
16,2016-06,Shuttle America Corp. (Domestic),"New York, NY (LGA)","1,556","953,192","113,249","71,087",63%,"31,983,262",0,0
17,2016-06,Sky Regional Airlines Inc. (International),"New York, NY (LGA)",252,"83,166","18,391","15,137",82%,"4,781,089","5,109",0
18,2016-06,SkyWest Airlines Inc. (Domestic),"New York, NY (LGA)",85,"61,991","6,460","6,280",97%,"1,292,000",0,0
19,2016-06,Southwest Airlines Co. (Domestic),"New York, NY (LGA)",940,"898,995","134,804","127,309",94%,"32,603,200","252,158",0
20,2016-06,Spirit Air Lines (Domestic),"New York, NY (LGA)",314,"266,175","60,517","53,414",88%,"12,086,200",0,0
21,2016-06,Trans States Airlines (Domestic),"New York, NY (LGA)",762,"373,220","38,100","32,365",85%,"8,471,916",0,0
22,2016-06,United Air Lines Inc. (Domestic),"New York, NY (LGA)",665,"769,331","98,606","93,494",95%,"24,496,764","50,696",0
23,2016-06,Virgin America (Domestic),"New York, NY (LGA)",108,"149,148","12,852","11,783",92%,"4,084,776",0,0
24,2016-06,Westjet (International),"New York, NY (LGA)",194,"69,258","25,818","19,764",77%,"6,296,594",0,0
1,2016-07,Air Canada (International),"New York, NY (LGA)",330,"117,810","39,867","37,350",94%,"10,513,941","6,376",0
2,2016-07,Air Wisconsin Airlines Corp (Domestic),"New York, NY (LGA)",343,"130,417","17,150","14,107",82%,"4,198,320","3,150",0
3,2016-07,American Airlines Inc. (Domestic),"New York, NY (LGA)","2,216","1,501,806","311,512","268,970",86%,"80,971,000","190,597",0
4,2016-07,Delta Air Lines Inc. (Domestic),"New York, NY (LGA)","2,051","1,725,628","293,857","238,801",81%,"72,942,562","185,890",0
5,2016-07,Endeavor Air Inc. (Domestic),"New York, NY (LGA)","1,439","848,393","101,152","76,052",75%,"28,105,748",142,0
6,2016-07,ExpressJet Airlines Inc. (Domestic),"New York, NY (LGA)","1,146","552,962","69,705","50,809",73%,"17,945,580",53,0
7,2016-07,Frontier Airlines Inc. (Domestic),"New York, NY (LGA)",89,"103,244","16,020","14,937",93%,"3,204,000",0,0
8,2016-07,GoJet Airlines LLC d/b/a United Express (Domestic),"New York, NY (LGA)",827,"518,301","58,070","40,736",70%,"14,717,670",0,0
9,2016-07,Jazz Aviation LP (International),"New York, NY (LGA)",68,"22,236","3,400","2,651",78%,"1,019,999",0,0
10,2016-07,JetBlue Airways (Domestic),"New York, NY (LGA)",534,"545,433","75,600","63,816",84%,"18,963,600",0,0
11,2016-07,Mesa Airlines Inc. (Domestic),"New York, NY (LGA)",59,"19,446","4,160","3,920",94%,"1,088,300",0,0
12,2016-07,Nolinor Aviation (International),"New York, NY (LGA)",1,324,8,3,38%,"1,443",836,0
13,2016-07,PSA Airlines Inc. (Domestic),"New York, NY (LGA)",134,"62,320","7,246","5,829",80%,"1,835,010","1,725","1,100"
14,2016-07,Republic Airlines (Domestic),"New York, NY (LGA)",954,"668,846","72,848","59,882",82%,"20,778,374",0,0
15,2016-07,Republic Airlines (Latin America),"New York, NY (LGA)",56,"19,992","4,264","3,450",81%,"1,220,968",0,0
16,2016-07,Shuttle America Corp. (Domestic),"New York, NY (LGA)","1,502","890,827","108,691","66,392",61%,"30,612,892",0,0
17,2016-07,Sky Regional Airlines Inc. (International),"New York, NY (LGA)",250,"82,518","18,247","16,021",88%,"4,774,978","3,672",0
18,2016-07,SkyWest Airlines Inc. (Domestic),"New York, NY (LGA)",59,"42,806","4,484","4,339",97%,"896,800",0,0
19,2016-07,Southwest Airlines Co. (Domestic),"New York, NY (LGA)",938,"887,455","134,736","125,822",93%,"32,595,600","210,820",0
20,2016-07,Spirit Air Lines (Domestic),"New York, NY (LGA)",315,"268,942","61,287","53,677",88%,"12,255,400",0,0
21,2016-07,Trans States Airlines (Domestic),"New York, NY (LGA)",694,"344,680","34,700","29,503",85%,"7,715,892",0,0
22,2016-07,United Air Lines Inc. (Domestic),"New York, NY (LGA)",634,"754,696","93,828","88,203",94%,"22,910,466","6,685",0
23,2016-07,Virgin America (Domestic),"New York, NY (LGA)",108,"149,148","12,852","11,411",89%,"4,084,776",0,0
24,2016-07,Westjet (International),"New York, NY (LGA)",192,"68,544","25,686","23,192",90%,"6,282,382",0,0
1,2016-08,Air Canada (International),"New York, NY (LGA)",346,"123,522","41,663","39,735",95%,"10,746,075","6,875",0
2,2016-08,Air Wisconsin Airlines Corp (Domestic),"New York, NY (LGA)",330,"129,329","16,500","10,763",65%,"4,039,200","2,393",0
3,2016-08,American Airlines Inc. (Domestic),"New York, NY (LGA)","2,316","1,548,064","323,702","259,254",80%,"84,259,000","195,572",0
4,2016-08,Avjet Corporation (Domestic),"New York, NY (LGA)",1,184,7,2,29%,"2,000",0,0
5,2016-08,Delta Air Lines Inc. (Domestic),"New York, NY (LGA)","2,073","1,727,393","293,952","240,041",82%,"73,130,893","213,923",0
6,2016-08,Endeavor Air Inc. (Domestic),"New York, NY (LGA)","1,600","964,711","113,116","80,870",71%,"31,468,548",558,0
7,2016-08,Envoy Air (Domestic),"New York, NY (LGA)",43,"13,049","2,150",999,46%,"531,050",0,0
8,2016-08,ExpressJet Airlines Inc. (Domestic),"New York, NY (LGA)","1,253","603,030","75,981","53,294",70%,"19,417,980",0,0
9,2016-08,Frontier Airlines Inc. (Domestic),"New York, NY (LGA)",91,"104,578","16,380","14,972",91%,"3,278,400",0,0
10,2016-08,GoJet Airlines LLC d/b/a United Express (Domestic),"New York, NY (LGA)",799,"495,957","56,104","38,543",69%,"14,219,450",0,0
11,2016-08,Jazz Aviation LP (International),"New York, NY (LGA)",76,"24,852","3,800","2,881",76%,"1,140,000",0,0
12,2016-08,JetBlue Airways (Domestic),"New York, NY (LGA)",540,"552,502","76,450","67,518",88%,"19,176,800",0,0
13,2016-08,Mesa Airlines Inc. (Domestic),"New York, NY (LGA)",59,"15,885","4,142","3,875",94%,"1,090,220",0,0
14,2016-08,PSA Airlines Inc. (Domestic),"New York, NY (LGA)",148,"68,629","7,928","5,250",66%,"1,996,570","1,627",0
15,2016-08,Republic Airlines (Domestic),"New York, NY (LGA)","1,041","721,634","79,442","52,295",66%,"22,677,946",0,0
16,2016-08,Republic Airlines (Latin America),"New York, NY (LGA)",59,"21,063","4,488","3,612",80%,"1,286,377",0,0
17,2016-08,Shuttle America Corp. (Domestic),"New York, NY (LGA)","1,574","961,567","114,195","64,131",56%,"32,198,974",0,0
18,2016-08,Sky Regional Airlines Inc. (International),"New York, NY (LGA)",250,"82,518","18,247","16,021",88%,"4,774,021","3,672",0
19,2016-08,SkyWest Airlines Inc. (Domestic),"New York, NY (LGA)",32,"23,456","2,432","2,360",97%,"486,400",0,0
20,2016-08,Southwest Airlines Co. (Domestic),"New York, NY (LGA)",982,"935,370","140,504","128,619",92%,"33,958,000","229,359",0
21,2016-08,Spirit Air Lines (Domestic),"New York, NY (LGA)",333,"280,298","64,841","58,764",91%,"12,948,000",0,0
22,2016-08,Tradewind Aviation (Domestic),"New York, NY (LGA)",2,270,16,7,44%,"6,900",0,0
23,2016-08,Trans States Airlines (Domestic),"New York, NY (LGA)",758,"372,578","37,900","28,097",74%,"8,427,444",0,0
24,2016-08,United Air Lines Inc. (Domestic),"New York, NY (LGA)",756,"863,535","110,634","103,394",93%,"27,499,093","30,908",0
25,2016-08,Virgin America (Domestic),"New York, NY (LGA)",80,"110,480","9,520","8,134",85%,"3,025,760",0,0
26,2016-08,Westjet (International),"New York, NY (LGA)",199,"71,043","26,760","24,091",90%,"6,536,856",0,0
27,2016-08,XTRA Airways (Domestic),"New York, NY (LGA)",1,725,179,71,40%,"75,830",0,0
1,2016-09,Air Canada (International),"New York, NY (LGA)",334,"119,238","40,164","35,525",88%,"10,135,220","5,703",0
2,2016-09,Air Wisconsin Airlines Corp (Domestic),"New York, NY (LGA)",364,"140,205","18,200","11,173",61%,"4,455,360","3,136",0
3,2016-09,American Airlines Inc. (Domestic),"New York, NY (LGA)","2,208","1,505,902","310,901","240,930",77%,"80,981,100","106,408",1
4,2016-09,Delta Air Lines Inc. (Domestic),"New York, NY (LGA)","1,938","1,576,473","260,378","212,113",81%,"66,094,830","271,855",0
5,2016-09,Eastern Airlines Group Inc. (Domestic),"New York, NY (LGA)",4,813,592,149,25%,"150,000",0,0
6,2016-09,Endeavor Air Inc. (Domestic),"New York, NY (LGA)","1,648","997,479","117,260","84,433",72%,"32,671,682",363,0
7,2016-09,ExpressJet Airlines Inc. (Domestic),"New York, NY (LGA)","1,267","625,475","76,597","53,850",70%,"19,861,420",0,0
8,2016-09,Frontier Airlines Inc. (Domestic),"New York, NY (LGA)",90,"104,340","16,200","14,477",89%,"3,249,600",0,0
9,2016-09,GoJet Airlines LLC d/b/a United Express (Domestic),"New York, NY (LGA)",555,"358,479","38,886","27,367",70%,"9,804,390",0,0
10,2016-09,Jazz Aviation LP (International),"New York, NY (LGA)",73,"23,871","3,650","2,635",72%,"1,094,999",0,0
11,2016-09,JetBlue Airways (Domestic),"New York, NY (LGA)",526,"538,934","78,000","59,307",76%,"19,470,800",0,0
12,2016-09,Mesa Airlines Inc. (Domestic),"New York, NY (LGA)",67,"26,026","4,744","4,449",94%,"1,233,740",0,0
13,2016-09,Miami Air International (Domestic),"New York, NY (LGA)",8,"3,538","1,232",187,15%,"606,640",0,0
14,2016-09,PSA Airlines Inc. (Domestic),"New York, NY (LGA)",143,"66,883","7,797","5,099",65%,"1,977,190","2,292",0
15,2016-09,Republic Airlines (Domestic),"New York, NY (LGA)","1,045","709,083","79,748","51,607",65%,"22,773,291",0,0
16,2016-09,Republic Airlines (Latin America),"New York, NY (LGA)",38,"13,434","2,888","2,154",75%,"828,514",0,0
17,2016-09,Shuttle America Corp. (Domestic),"New York, NY (LGA)","1,534","935,390","111,731","64,778",58%,"31,557,289",0,0
18,2016-09,Sky Regional Airlines Inc. (International),"New York, NY (LGA)",261,"86,247","19,049","16,894",89%,"4,752,005","5,784",0
19,2016-09,SkyWest Airlines Inc. (Domestic),"New York, NY (LGA)",2,"1,466",152,149,98%,"30,400",0,0
20,2016-09,Southwest Airlines Co. (Domestic),"New York, NY (LGA)",952,"910,260","136,200","120,869",89%,"32,935,200","213,351",0
21,2016-09,Spirit Air Lines (Domestic),"New York, NY (LGA)",327,"275,689","63,155","52,851",84%,"12,612,600",0,0
22,2016-09,Trans States Airlines (Domestic),"New York, NY (LGA)",771,"364,397","38,550","27,725",72%,"8,571,978",0,0
23,2016-09,United Air Lines Inc. (Domestic),"New York, NY (LGA)",755,"842,048","110,273","102,391",93%,"28,009,539","11,501",0
24,2016-09,Virgin America (Domestic),"New York, NY (LGA)",107,"147,767","12,733","10,751",84%,"4,046,954",0,0
25,2016-09,Westjet (International),"New York, NY (LGA)",202,"72,114","26,272","20,452",78%,"6,439,125",0,0
1,2016-10,Air Canada (International),"New York, NY (LGA)",339,"120,990","40,665","35,191",87%,"10,225,374","3,969",0
2,2016-10,Air Wisconsin Airlines Corp (Domestic),"New York, NY (LGA)",433,"180,053","21,650","14,174",65%,"5,299,920","3,806",8
3,2016-10,American Airlines Inc. (Domestic),"New York, NY (LGA)","2,221","1,514,446","312,345","242,641",78%,"81,297,600","61,257",0
4,2016-10,Delta Air Lines Inc. (Domestic),"New York, NY (LGA)","1,915","1,540,179","262,272","217,144",83%,"65,813,055","293,167",0
5,2016-10,Eastern Airlines Group Inc. (Domestic),"New York, NY (LGA)",3,"1,355",192,87,45%,"112,500",0,0
6,2016-10,Endeavor Air Inc. (Domestic),"New York, NY (LGA)","2,031","1,185,365","139,094","106,197",76%,"38,395,390",975,0
7,2016-10,ExpressJet Airlines Inc. (Domestic),"New York, NY (LGA)",984,"528,120","62,197","44,497",72%,"15,960,680",0,0
8,2016-10,Frontier Airlines Inc. (Domestic),"New York, NY (LGA)",91,"105,626","16,380","14,300",87%,"3,295,200",0,0
9,2016-10,GoJet Airlines LLC d/b/a United Express (Domestic),"New York, NY (LGA)",523,"317,566","36,652","25,650",70%,"9,246,010",0,0
10,2016-10,Jazz Aviation LP (International),"New York, NY (LGA)",77,"25,179","3,850","2,821",73%,"1,155,000",0,0
11,2016-10,JetBlue Airways (Domestic),"New York, NY (LGA)",509,"516,156","76,000","59,749",79%,"18,958,200",0,0
12,2016-10,Mesa Airlines Inc. (Domestic),"New York, NY (LGA)",63,"16,801","4,422","4,174",94%,"1,164,220",0,0
13,2016-10,Miami Air International (Domestic),"New York, NY (LGA)",11,"4,649","1,713",402,23%,"339,500",0,0
14,2016-10,Miami Air International (International),"New York, NY (LGA)",1,"2,019",173,0,0%,"42,500",0,0
15,2016-10,PSA Airlines Inc. (Domestic),"New York, NY (LGA)",146,"67,877","7,924","5,374",68%,"2,020,000","3,974",850
16,2016-10,Republic Airlines (Domestic),"New York, NY (LGA)","1,031","701,628","78,632","54,344",69%,"22,440,939",0,0
17,2016-10,Republic Airlines (Latin America),"New York, NY (LGA)",21,"7,464","1,596","1,238",78%,"457,863",0,0
18,2016-10,Shuttle America Corp. (Domestic),"New York, NY (LGA)","1,524","924,261","110,976","67,642",61%,"31,343,627",0,0
19,2016-10,Sky Regional Airlines Inc. (International),"New York, NY (LGA)",260,"85,857","18,980","16,516",87%,"4,639,259","3,879",0
20,2016-10,SkyWest Airlines Inc. (Domestic),"New York, NY (LGA)",1,258,50,38,76%,"13,500",0,0
21,2016-10,Southwest Airlines Co. (Domestic),"New York, NY (LGA)",973,"925,949","139,223","121,669",87%,"33,653,800","212,319",0
22,2016-10,Spirit Air Lines (Domestic),"New York, NY (LGA)",323,"273,320","62,350","50,929",82%,"12,441,600",0,0
23,2016-10,Trans States Airlines (Domestic),"New York, NY (LGA)",777,"366,966","38,850","29,861",77%,"8,638,686",0,0
24,2016-10,United Air Lines Inc. (Domestic),"New York, NY (LGA)",781,"862,430","113,223","102,645",91%,"29,001,286","10,070",0
25,2016-10,Virgin America (Domestic),"New York, NY (LGA)",108,"149,148","12,942","10,496",81%,"4,082,877",0,0
26,2016-10,Westjet (International),"New York, NY (LGA)",204,"72,828","25,533","19,279",76%,"6,235,588",0,0
1,2016-11,Air Canada (International),"New York, NY (LGA)",359,"126,975","42,747","34,499",81%,"10,989,706","10,177",0
2,2016-11,Air Wisconsin Airlines Corp (Domestic),"New York, NY (LGA)",474,"219,320","23,700","15,424",65%,"5,801,760","6,734",92
3,2016-11,American Airlines Inc. (Domestic),"New York, NY (LGA)","1,942","1,456,945","283,113","230,361",81%,"73,796,200","248,270","2,586"
4,2016-11,Delta Air Lines Inc. (Domestic),"New York, NY (LGA)","1,888","1,543,262","271,607","233,344",86%,"66,969,764","272,884",0
5,2016-11,Eastern Airlines Group Inc. (Domestic),"New York, NY (LGA)",5,"2,698",870,147,17%,"235,000",0,0
6,2016-11,Endeavor Air Inc. (Domestic),"New York, NY (LGA)","2,124","1,226,202","148,467","112,647",76%,"41,196,254",379,0
7,2016-11,ExpressJet Airlines Inc. (Domestic),"New York, NY (LGA)",988,"517,924","62,486","44,600",71%,"16,251,060",385,0
8,2016-11,Frontier Airlines Inc. (Domestic),"New York, NY (LGA)",90,"104,340","16,200","14,336",88%,"3,271,200",0,0
9,2016-11,GoJet Airlines LLC d/b/a United Express (Domestic),"New York, NY (LGA)",399,"255,874","27,966","19,934",71%,"7,057,230",0,0
10,2016-11,Jazz Aviation LP (International),"New York, NY (LGA)",73,"23,871","3,650","2,563",70%,"1,094,999",0,0
11,2016-11,JetBlue Airways (Domestic),"New York, NY (LGA)",508,"395,231","68,500","58,604",86%,"17,274,400",0,0
12,2016-11,Mesa Airlines Inc. (Domestic),"New York, NY (LGA)",60,"18,488","4,242","4,002",94%,"1,105,520",0,0
13,2016-11,Miami Air International (Domestic),"New York, NY (LGA)",3,"1,639",462,106,23%,"89,100",0,0
14,2016-11,PSA Airlines Inc. (Domestic),"New York, NY (LGA)",143,"66,585","7,748","4,938",64%,"1,972,560","4,839",800
15,2016-11,Republic Airlines (Domestic),"New York, NY (LGA)","1,168","679,417","89,726","60,629",68%,"25,262,579",0,0
16,2016-11,Republic Airlines (Latin America),"New York, NY (LGA)",28,"9,996","2,128","1,197",56%,"610,484",0,0
17,2016-11,Shuttle America Corp. (Domestic),"New York, NY (LGA)","1,476","947,072","107,623","67,242",62%,"30,410,945",0,0
18,2016-11,Sky Regional Airlines Inc. (International),"New York, NY (LGA)",177,"58,041","12,922","10,920",85%,"3,287,807","4,193",0
19,2016-11,SkyWest Airlines Inc. (Domestic),"New York, NY (LGA)",3,"2,199",228,219,96%,"45,600",0,0
20,2016-11,Southwest Airlines Co. (Domestic),"New York, NY (LGA)",895,"852,981","128,811","116,027",90%,"31,167,000","241,205",0
21,2016-11,Spirit Air Lines (Domestic),"New York, NY (LGA)",328,"277,204","62,601","51,382",82%,"12,488,800",0,0
22,2016-11,Tradewind Aviation (Domestic),"New York, NY (LGA)",3,478,24,8,33%,"12,200",0,0
23,2016-11,Trans States Airlines (Domestic),"New York, NY (LGA)",771,"363,722","38,550","26,994",70%,"8,571,978",0,0
24,2016-11,United Air Lines Inc. (Domestic),"New York, NY (LGA)",729,"812,061","104,361","95,626",92%,"26,863,045","11,348",0
25,2016-11,Virgin America (Domestic),"New York, NY (LGA)",109,"150,529","16,077","10,496",65%,"4,053,601",0,0
26,2016-11,Westjet (International),"New York, NY (LGA)",195,"69,615","23,664","16,297",69%,"5,745,108",0,0
1,2016-12,Air Canada (International),"New York, NY (LGA)",374,"131,538","42,400","34,937",82%,"10,764,140","7,832",0
2,2016-12,Air Wisconsin Airlines Corp (Domestic),"New York, NY (LGA)",490,"221,651","24,500","16,460",67%,"5,997,600","5,565",14
3,2016-12,American Airlines Inc. (Domestic),"New York, NY (LGA)","1,734","1,416,317","261,597","211,360",81%,"68,166,560","216,759",0
4,2016-12,Delta Air Lines Inc. (Domestic),"New York, NY (LGA)","2,155","1,890,354","308,992","256,327",83%,"75,657,326","285,194",0
5,2016-12,Delta Air Lines Inc. (Latin America),"New York, NY (LGA)",3,"3,312",447,150,34%,"98,610",0,0
6,2016-12,Eastern Airlines Group Inc. (Domestic),"New York, NY (LGA)",2,874,348,43,12%,"94,000",0,0
7,2016-12,Endeavor Air Inc. (Domestic),"New York, NY (LGA)","1,935","1,060,954","132,883","101,694",77%,"36,709,282",659,0
8,2016-12,ExpressJet Airlines Inc. (Domestic),"New York, NY (LGA)",787,"423,238","49,459","35,550",72%,"12,376,960",236,0
9,2016-12,Frontier Airlines Inc. (Domestic),"New York, NY (LGA)",87,"100,528","15,660","13,094",84%,"3,154,800",0,0
10,2016-12,GoJet Airlines LLC d/b/a United Express (Domestic),"New York, NY (LGA)",215,"132,355","15,086","10,508",70%,"3,816,990",0,0
11,2016-12,Jazz Aviation LP (International),"New York, NY (LGA)",70,"22,890","3,500","2,579",74%,"1,050,001",0,0
12,2016-12,JetBlue Airways (Domestic),"New York, NY (LGA)",517,"413,258","69,850","58,285",83%,"17,611,000",0,0
13,2016-12,Mesa Airlines Inc. (Domestic),"New York, NY (LGA)",67,"28,400","4,756","4,400",93%,"1,232,460",0,0
14,2016-12,Miami Air International (Domestic),"New York, NY (LGA)",2,"1,554",346,47,14%,"85,000",0,0
15,2016-12,PSA Airlines Inc. (Domestic),"New York, NY (LGA)",147,"68,605","7,965","5,273",66%,"2,022,760","2,721",0
16,2016-12,Republic Airlines (Domestic),"New York, NY (LGA)","1,040","592,201","80,281","55,936",70%,"22,526,015",0,0
17,2016-12,Republic Airlines (Latin America),"New York, NY (LGA)",26,"9,282","1,976","1,278",65%,"566,878",0,0
18,2016-12,Shuttle America Corp. (Domestic),"New York, NY (LGA)","1,422","922,333","103,776","69,414",67%,"29,328,468",0,0
19,2016-12,Sky Regional Airlines Inc. (International),"New York, NY (LGA)",177,"58,635","12,918","11,339",88%,"3,178,967","2,121",0
20,2016-12,SkyWest Airlines Inc. (Domestic),"New York, NY (LGA)",38,"27,854","2,888","2,746",95%,"577,600",0,0
21,2016-12,Southwest Airlines Co. (Domestic),"New York, NY (LGA)",896,"854,564","129,018","116,944",91%,"31,216,800","175,100",0
22,2016-12,Spirit Air Lines (Domestic),"New York, NY (LGA)",337,"284,602","64,303","51,965",81%,"31,910,600",0,0
23,2016-12,"Swift Air, LLC (Domestic)","New York, NY (LGA)",1,660,150,40,27%,"34,723",0,0
24,2016-12,Trans States Airlines (Domestic),"New York, NY (LGA)",743,"361,634","37,150","26,589",72%,"8,260,674",0,0
25,2016-12,United Air Lines Inc. (Domestic),"New York, NY (LGA)",683,"790,937","99,212","90,837",92%,"25,744,854","10,688",0
26,2016-12,Via Airlines d/b/a Charter Air Transport (Domestic),"New York, NY (LGA)",1,660,50,28,56%,"12,775",0,0
27,2016-12,Virgin America (Domestic),"New York, NY (LGA)",96,"132,576","11,424","9,616",84%,"3,630,912",0,0
28,2016-12,VistaJet Limited (International),"New York, NY (LGA)",1,"5,614",14,4,29%,"2,801",0,0
29,2016-12,Westjet (International),"New York, NY (LGA)",191,"68,187","23,487","17,429",74%,"5,708,975",0,0
1,2017-01,Air Canada (International),"New York, NY (LGA)",380,"133,713","42,503","30,176",71%,"10,703,677","8,653",0
2,2017-01,Air Wisconsin Airlines Corp (Domestic),"New York, NY (LGA)",235,"103,917","11,750","5,598",48%,"2,876,400",196,0
3,2017-01,American Airlines Inc. (Domestic),"New York, NY (LGA)","1,763","1,365,289","258,537","192,575",74%,"67,245,850","193,198",85
4,2017-01,Chartright Air Inc. (International),"New York, NY (LGA)",1,324,8,1,13%,"2,400",0,0
5,2017-01,Delta Air Lines Inc. (Domestic),"New York, NY (LGA)","1,918","1,608,388","277,521","213,273",77%,"67,757,155","253,816",0
6,2017-01,Delta Air Lines Inc. (Latin America),"New York, NY (LGA)",1,"1,104",149,95,64%,"32,870",0,0
7,2017-01,Endeavor Air Inc. (Domestic),"New York, NY (LGA)","2,100","1,130,443","143,213","85,359",60%,"39,491,942",240,0
8,2017-01,Envoy Air (Domestic),"New York, NY (LGA)",297,"142,216","14,850","7,020",47%,"3,667,950",776,0
9,2017-01,ExpressJet Airlines Inc. (Domestic),"New York, NY (LGA)","1,009","564,964","64,019","33,692",53%,"16,406,360",31,0
10,2017-01,Frontier Airlines Inc. (Domestic),"New York, NY (LGA)",60,"57,646","10,800","9,003",83%,"2,168,400",0,0
11,2017-01,GoJet Airlines LLC d/b/a United Express (Domestic),"New York, NY (LGA)",23,"15,708","1,616","1,169",72%,"410,170",0,0
12,2017-01,Jazz Aviation LP (International),"New York, NY (LGA)",70,"22,890","3,500","1,881",54%,"1,050,001",0,0
13,2017-01,"Jet Aviation Flight Services, Inc. (Domestic)","New York, NY (LGA)",1,"1,035",8,5,63%,"1,600",0,0
14,2017-01,JetBlue Airways (Domestic),"New York, NY (LGA)",513,"397,941","67,700","56,583",84%,"17,114,200",0,0
15,2017-01,Mesa Airlines Inc. (Domestic),"New York, NY (LGA)",65,"22,007","4,604","4,184",91%,"1,196,740",0,0
16,2017-01,PSA Airlines Inc. (Domestic),"New York, NY (LGA)",161,"77,548","9,172","5,093",56%,"2,373,350","1,616",0
17,2017-01,Republic Airlines (Domestic),"New York, NY (LGA)","2,623","1,602,702","194,895","100,213",51%,"55,204,817",0,0
18,2017-01,Republic Airlines (Latin America),"New York, NY (LGA)",23,"8,211","1,752",979,56%,"501,469",0,0
19,2017-01,Sky Regional Airlines Inc. (International),"New York, NY (LGA)",138,"45,240","10,073","7,341",73%,"2,480,316","2,997",0
20,2017-01,SkyWest Airlines Inc. (Domestic),"New York, NY (LGA)",42,"30,786","3,192","2,953",93%,"638,400",0,0
21,2017-01,Southwest Airlines Co. (Domestic),"New York, NY (LGA)",886,"843,244","128,158","95,835",75%,"30,998,000","212,540",0
22,2017-01,Spirit Air Lines (Domestic),"New York, NY (LGA)",319,"268,746","60,852","47,862",79%,"12,111,400",0,0
23,2017-01,Trans States Airlines (Domestic),"New York, NY (LGA)",663,"316,932","33,150","18,271",55%,"7,371,234",0,0
24,2017-01,United Air Lines Inc. (Domestic),"New York, NY (LGA)",613,"735,808","88,224","73,848",84%,"22,510,158","8,065",0
25,2017-01,Virgin America (Domestic),"New York, NY (LGA)",97,"133,957","11,543","7,838",68%,"3,668,734",0,0
26,2017-01,Westjet (International),"New York, NY (LGA)",185,"66,045","22,572","13,761",61%,"5,484,538",0,0
1,2017-02,Air Canada (International),"New York, NY (LGA)",318,"112,338","35,932","27,179",76%,"9,226,972","6,945",0
2,2017-02,Air Wisconsin Airlines Corp (Domestic),"New York, NY (LGA)",80,"31,400","4,000","1,712",43%,"979,200",560,0
