,airline,manufacturer,model
N508AY,AMERICAN AIRLINES INC,AIRBUS,A321-231
N508JB,LAVIGNE AVIATION LLC,CIRRUS DESIGN CORP,SR22
N508NK,SPIRIT AIRLINES INC,AIRBUS,A319-132
N508SW,SOUTHWEST AIRLINES CO,BOEING,737-5H4
N509AY,AMERICAN AIRLINES INC,AIRBUS,A321-231
N509JB,JETBLUE AIRWAYS CORP,AIRBUS INDUSTRIE,A320-232
N509NK,SPIRIT AIRLINES INC,AIRBUS,A319-132
N510AA,SKY WEST AVIATION INC TRUSTEE,CESSNA,210N
N510JB,JETBLUE AIRWAYS CORP,AIRBUS INDUSTRIE,A320-232
N510NK,SPIRIT AIRLINES INC,AIRBUS,A319-132
N510UW,AMERICAN AIRLINES INC,AIRBUS,A321-231
N511SW,SOUTHWEST AIRLINES CO,BOEING,737-5H4
N511UA,UNICAL AVIATION INC,BOMBARDIER INC,DHC-8-402
N512NK,WILMINGTON TRUST CO TRUSTEE,AIRBUS,A319-132
N514NK,WILMINGTON TRUST CO TRUSTEE,AIRBUS,A319-132
N515NK,SPIRIT AIRLINES INC,AIRBUS,A319-132
N515UA,UNICAL AVIATION INC,BOMBARDIER INC,DHC-8-402
N516JB,JETBLUE AIRWAYS CORP,AIRBUS INDUSTRIE,A320-232
N516NK,WILMINGTON TRUST CO TRUSTEE,AIRBUS,A319-132
N516UA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,757-222
N517JB,JETBLUE AIRWAYS CORP,AIRBUS INDUSTRIE,A320-232
N517NK,WILMINGTON TRUST CO TRUSTEE,AIRBUS,A319-132
N519JB,JETBLUE AIRWAYS CORP,AIRBUS INDUSTRIE,A320-232
N519MQ,HIGH PEAKS AVIATION LLC,CESSNA,A185F
N519NK,SPIRIT AIRLINES INC,AIRBUS,A319-132
N519UW,AMERICAN AIRLINES INC,AIRBUS,A321-231
N520AA,BUSH KENNETH W,KILDALL GARY,FALCON-XP
N520JB,JETBLUE AIRWAYS CORP,AIRBUS INDUSTRIE,A320-232
N520UA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,757-222
N521JB,JETBLUE AIRWAYS CORP,AIRBUS INDUSTRIE,A320-232
N521NK,SPIRIT AIRLINES INC,AIRBUS,A319-132
N521US,DELTA AIR LINES INC,BOEING,757-251
N521UW,AMERICAN AIRLINES INC,AIRBUS,A321-231
N521VA,AFS INVESTMENTS 67 LLC,AIRBUS,A319-112
N522NK,FALCON MSN 2893 TRUST,AIRBUS,A319-132
N522UA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,757-222
N522VA,AFS INVESTMENTS 67 LLC,AIRBUS,A319-112
N523JB,JETBLUE AIRWAYS CORP,AIRBUS INDUSTRIE,A320-232
N523NK,FALCON MSN 2898 TRUST,AIRBUS,A319-132
N523UW,AMERICAN AIRLINES INC,AIRBUS,A321-231
