,airline,manufacturer,model
N279JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW
N279WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N280WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N281JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW
N281WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N282WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N283JB,WELLS FARGO BANK NORTHWEST NA OWNER TRUSTEE,EMBRAER,ERJ 190-100 IGW
N283WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N28457,UNITED AIRLINES INC,BOEING,737-924ER
N28478,UNITED AIRLINES INC,BOEING,737-924ER
N284JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW
N284WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N285WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N286WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N287WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N288WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N289CT,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N290WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N291WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N292JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW
N292WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N293WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N294JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW
N294WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N295WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N296JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW
N296WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N29717,UNITED AIRLINES INC,BOEING,737-724
N297WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N298JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW
N298WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N29906,UNITED AIRLINES INC,EMBRAER,EMB-145LR
N29917,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N299WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N301DQ,DELTA AIR LINES INC,BOEING,737-732
N301FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-251N
N301NB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-114
N302DN,DELTA AIR LINES INC,AIRBUS,A321-211
N302DQ,DELTA AIR LINES INC,BOEING,737-732
N302NB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-114
N303DN,DELTA AIR LINES INC,AIRBUS,A321-211
N303DQ,DELTA AIR LINES INC,BOEING,737-732
N303FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-251N
N304DN,DELTA AIR LINES INC,AIRBUS,A321-211
N304DQ,DELTA AIR LINES INC,BOEING,737-732
N304FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-251N
N304JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW
N305DN,DELTA AIR LINES INC,AIRBUS,A321-211
N305DQ,DELTA AIR LINES INC,BOEING,737-732
N305FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-251N
N306DN,DELTA AIR LINES INC,AIRBUS,A321-211
N306DQ,DELTA AIR LINES INC,BOEING,737-732
N306JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW
N307DQ,DELTA AIR LINES INC,BOEING,737-732
N307DX,DELTA AIR LINES INC,AIRBUS,A321-211
N307FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-251N
N307JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW
N308DE,DELTA AIR LINES INC,BOEING,737-732
N308DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-211
N308FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-251N
N309DE,DELTA AIR LINES INC,BOEING,737-732
N309DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-211
N309FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-251N
N309JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW
N309US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211
N310DE,DELTA AIR LINES INC,BOEING,737-732
N310DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-211
N310FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-251N
N310NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211
N31131,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N311DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-211
N311FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-251N
N311US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211
N312DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-211
N312US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211
N313DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-211
N313US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211
N314DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-211
N314NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114
N314US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211
N315DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-211
N315NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114
N315US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211
N316DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-211
N316JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW
N316NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114
N316US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211
N317DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-211
N317JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW
N317NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114
N317US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211
N317WN,SOUTHWEST AIRLINES CO,BOEING,737-3Q8
N318DX,DELTA AIR LINES INC,AIRBUS,A321-211
N318JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW
N318NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114
N318US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211
N319DN,DELTA AIR LINES INC,AIRBUS,A321-211
N319NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114
N319US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211
N320DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-211
N320NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114
N320US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211
N321DH,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-211
N321NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114
N321US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211
N322DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-211
N322NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114
N322US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211
N323JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW
N323NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114
N323US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211
N324DX,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-211
N324JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW
N324NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114
N324US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211
N325NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114
N325US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211
N326NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114
N326US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211
N327NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114
N327NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211
N328JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW
N328NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114
N328NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211
N329JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW
N329NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114
N329NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211
N330NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114
N330NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211
N33182,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N331NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114
N331NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211
N33203,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N33209,UNITED AIRLINES INC,BOEING,737-824
N33262,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N33264,UNITED AIRLINES INC,BOEING,737-824
N33266,UNITED AIRLINES INC,BOEING,737-824
N33284,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N33286,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N33289,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N33292,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N33294,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N332NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114
N332NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211
N333NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114
N333NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211
N334JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW
N334NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114
N334NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N335NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114
N335NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N336NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114
N336NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N33714,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-724
N337JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW
N337NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114
N337NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N338AT,LYNCH FLYING SERVICE INC DBA,RAYTHEON AIRCRAFT COMPANY,B200
N338NB,DELTA AIR LINES INC,AIRBUS,A319-114
N338NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N339JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW
N339NB,DELTA AIR LINES INC,AIRBUS,A319-114
N339NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N340NB,DELTA AIR LINES INC,AIRBUS,A319-114
N340NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N34110,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N34111,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N341NB,DELTA AIR LINES INC,AIRBUS,A319-114
N341NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N34222,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N34282,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N342NB,DELTA AIR LINES INC,AIRBUS,A319-114
N342NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N343NB,DELTA AIR LINES INC,AIRBUS,A319-114
N343NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N34455,UNITED AIRLINES INC,BOEING,737-924ER
N34460,UNITED AIRLINES INC,BOEING,737-924ER
N344NB,DELTA AIR LINES INC,AIRBUS,A319-114
N344NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N345NB,DELTA AIR LINES INC,AIRBUS,A319-114
N345NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N346JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW
N346NB,DELTA AIR LINES INC,AIRBUS,A319-114
N347NB,DELTA AIR LINES INC,AIRBUS,A319-114
N347NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N348JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW
N348NB,DELTA AIR LINES INC,AIRBUS,A319-114
N348NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N349NB,DELTA AIR LINES INC,AIRBUS,A319-114
N349NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N349SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4
N350NA,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N351JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW
N351NB,DELTA AIR LINES INC,AIRBUS,A319-114
N351NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N35204,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N35236,UNITED AIRLINES INC,BOEING,737-824
N35260,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N35271,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N352NB,DELTA AIR LINES INC,AIRBUS,A319-114
N352NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N352SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4
N353JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW
N353NB,DELTA AIR LINES INC,AIRBUS,A319-114
N353NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N353SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4
N354JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW
N354NB,DELTA AIR LINES INC,AIRBUS,A319-114
N354NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N354SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4
N355JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW
N355NB,DELTA AIR LINES INC,AIRBUS,A319-114
N355NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N355SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4
N356NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N356SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4
N357NB,DELTA AIR LINES INC,AIRBUS,A319-114
N357NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N357SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4
N358JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW
N358NB,DELTA AIR LINES INC,AIRBUS,A319-114
N358NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N358SW,INFINITY TRADING & SOLUTIONS LLC,BOEING,737-3H4
N359NB,DELTA AIR LINES INC,AIRBUS,A319-114
N359NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N359SW,JETRAN LLC,BOEING,737-3H4
N360NB,DELTA AIR LINES INC,AIRBUS,A319-114
N360NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N361NB,DELTA AIR LINES INC,AIRBUS,A319-114
N361NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N361VA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-214
N36207,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N36247,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N36272,UNITED AIRLINES INC,BOEING,737-824
N36280,UNITED AIRLINES INC,BOEING,737-824
N362NB,DELTA AIR LINES INC,AIRBUS,A319-114
N362NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N362SW,JETRAN LLC,BOEING,737-3H4
N363NB,DELTA AIR LINES INC,AIRBUS,A319-114
N363NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N363SW,BANK OF UTAH TRUSTEE,BOEING,737-3H4
N36444,UNITED AIRLINES INC,BOEING,737-924ER
N36447,UNITED AIRLINES INC,BOEING,737-924ER
N36469,UNITED AIRLINES INC,BOEING,737-924ER
N36472,UNITED AIRLINES INC,BOEING,737-924ER
N364NB,DELTA AIR LINES INC,AIRBUS,A319-114
N364NW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-212
N365NB,DELTA AIR LINES INC,AIRBUS,A319-114
N365NW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-212
N366NB,DELTA AIR LINES INC,AIRBUS,A319-114
N366NW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-212
N366SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4
N367NW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-212
N367SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4
N368JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW
N368NB,DELTA AIR LINES INC,AIRBUS,A319-114
N368NW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-212
N368SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4
N36915,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N369NB,DELTA AIR LINES INC,AIRBUS,A319-114
N369NW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-212
N369SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4
N370NB,DELTA AIR LINES INC,AIRBUS,A319-114
N370NW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-212
N370SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4
N371CA,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2C10
N371DA,DELTA AIR LINES INC,BOEING,737-832
N371NB,DELTA AIR LINES INC,AIRBUS,A319-114
N371NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N371SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4
N37252,UNITED AIRLINES INC,BOEING,737-824
N37253,UNITED AIRLINES INC,BOEING,737-824
N37255,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N37263,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N37267,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N37273,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N37274,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N37277,UNITED AIRLINES INC,BOEING,737-824
N37281,UNITED AIRLINES INC,BOEING,737-824
N37287,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N37290,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N37293,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N37298,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N372DA,DELTA AIR LINES INC,BOEING,737-832
N372NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N3730B,DELTA AIR LINES INC,BOEING,737-832
N3731T,DELTA AIR LINES INC,BOEING,737-832
N3732J,DELTA AIR LINES INC,BOEING,737-832
N3733Z,DELTA AIR LINES INC,BOEING,737-832
N3734B,DELTA AIR LINES INC,BOEING,737-832
N3735D,DELTA AIR LINES INC,BOEING,737-832
N3736C,DELTA AIR LINES INC,BOEING,737-832
N3737C,DELTA AIR LINES INC,BOEING,737-832
N3738B,DELTA AIR LINES INC,BOEING,737-832
N3739P,DELTA AIR LINES INC,BOEING,737-832
N373DA,DELTA AIR LINES INC,BOEING,737-832
N373JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW
N373NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N373SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4
N3740C,DELTA AIR LINES INC,BOEING,737-832
N37413,UNITED AIRLINES INC,BOEING,737-924ER
N37419,UNITED AIRLINES INC,BOEING,737-924ER
N3741S,DELTA AIR LINES INC,BOEING,737-832
N37420,UNITED AIRLINES INC,BOEING,737-924ER
N37422,UNITED AIRLINES INC,BOEING,737-924ER
N37427,UNITED AIRLINES INC,BOEING,737-924ER
N3742C,DELTA AIR LINES INC,BOEING,737-832
N37434,UNITED AIRLINES INC,BOEING,737-924ER
N37437,UNITED AIRLINES INC,BOEING,737-924ER
N3743H,DELTA AIR LINES INC,BOEING,737-832
N3744F,DELTA AIR LINES INC,BOEING,737-832
N37456,UNITED AIRLINES INC,BOEING,737-924ER
N3745B,DELTA AIR LINES INC,BOEING,737-832
N37462,UNITED AIRLINES INC,BOEING,737-924ER
N37464,UNITED AIRLINES INC,BOEING,737-924ER
N37465,UNITED AIRLINES INC,BOEING,737-924ER
N37466,UNITED AIRLINES INC,BOEING,737-924ER
N37468,UNITED AIRLINES INC,BOEING,737-924ER
N3746H,DELTA AIR LINES INC,BOEING,737-832
N37470,UNITED AIRLINES INC,BOEING,737-924ER
N37471,UNITED AIRLINES INC,BOEING,737-924ER
N37474,UNITED AIRLINES INC,BOEING,737-924ER
N3747D,DELTA AIR LINES INC,BOEING,737-832
N3748Y,DELTA AIR LINES INC,BOEING,737-832
N3749D,DELTA AIR LINES INC,BOEING,737-832
N374DA,DELTA AIR LINES INC,BOEING,737-832
N374JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW
N374NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212
N374SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4
N3750D,DELTA AIR LINES INC,BOEING,737-832
N3751B,DELTA AIR LINES INC,BOEING,737-832
N3752,DELTA AIR LINES INC,BOEING,737-832
N3753,DELTA AIR LINES INC,BOEING,737-832
N3754A,DELTA AIR LINES INC,BOEING,737-832
N3755D,DELTA AIR LINES INC,BOEING,737-832
N3756,DELTA AIR LINES INC,BOEING,737-832
N3757D,DELTA AIR LINES INC,BOEING,737-832
N3758Y,DELTA AIR LINES INC,BOEING,737-832
N3759,DELTA AIR LINES INC,BOEING,737-832
N375DA,DELTA AIR LINES INC,BOEING,737-832
N375JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW
N375NC,DELTA AIR LINES INC,AIRBUS,A320-212
N375SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4
N3760C,DELTA AIR LINES INC,BOEING,737-832
N3761R,DELTA AIR LINES INC,BOEING,737-832
N3762Y,DELTA AIR LINES INC,BOEING,737-832
N3763D,DELTA AIR LINES INC,BOEING,737-832
N3764D,DELTA AIR LINES INC,BOEING,737-832
N3765,DELTA AIR LINES INC,BOEING,737-832
N3766,DELTA AIR LINES INC,BOEING,737-832
N3767,DELTA AIR LINES INC,BOEING,737-832
N3768,DELTA AIR LINES INC,BOEING,737-832
N3769L,DELTA AIR LINES INC,BOEING,737-832
N376DA,DELTA AIR LINES INC,BOEING,737-832
N376NW,DELTA AIR LINES INC,AIRBUS,A320-212
N376SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4
N37700,DELTA AIR LINES INC,BOEING,737-832
N3771K,DELTA AIR LINES INC,BOEING,737-832
N3772H,DELTA AIR LINES INC,BOEING,737-832
N3773D,DELTA AIR LINES INC,BOEING,737-832
N377DA,DELTA AIR LINES INC,BOEING,737-832
N377NW,DELTA AIR LINES INC,AIRBUS,A320-211
N378DA,DELTA AIR LINES INC,BOEING,737-832
N378NW,DELTA AIR LINES INC,AIRBUS,A320-211
N378SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4
N379DA,DELTA AIR LINES INC,BOEING,737-832
N379SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4
N380DA,DELTA AIR LINES INC,BOEING,737-832
N380SW,U S BANK NA TRUSTEE,BOEING,737-3H4
N381DN,DELTA AIR LINES INC,BOEING,737-832
N38257,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N38268,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N382DA,DELTA AIR LINES INC,BOEING,737-832
N382SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4
N383DN,DELTA AIR LINES INC,BOEING,737-832
N383SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4
N38417,UNITED AIRLINES INC,BOEING,737-924ER
N38443,UNITED AIRLINES INC,BOEING,737-924ER
N38446,UNITED AIRLINES INC,BOEING,737-924ER
N38451,UNITED AIRLINES INC,BOEING,737-924ER
N38454,UNITED AIRLINES INC,BOEING,737-924ER
N38458,UNITED AIRLINES INC,BOEING,737-924ER
N38459,UNITED AIRLINES INC,BOEING,737-924ER
N38467,UNITED AIRLINES INC,BOEING,737-924ER
N38473,UNITED AIRLINES INC,BOEING,737-924ER
N38479,UNITED AIRLINES INC,BOEING,737-900ER
N384DA,DELTA AIR LINES INC,BOEING,737-832
N384SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4
N385DN,DELTA AIR LINES INC,BOEING,737-832
N385SW,U S BANK NA TRUSTEE,BOEING,737-3H4
N386DA,DELTA AIR LINES INC,BOEING,737-832
N386SW,U S BANK NA TRUSTEE,BOEING,737-3H4
N38727,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-724
N387DA,DELTA AIR LINES INC,BOEING,737-832
N387SW,U S BANK NA TRUSTEE,BOEING,737-3H4
N388DA,DELTA AIR LINES INC,BOEING,737-832
N388SW,U S BANK NA TRUSTEE,BOEING,737-3H4
N389DA,DELTA AIR LINES INC,BOEING,737-832
N389SW,U S BANK NA TRUSTEE,BOEING,737-3H4
N390DA,DELTA AIR LINES INC,BOEING,737-832
N390SW,U S BANK NA TRUSTEE,BOEING,737-3H4
N391CA,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2C10
