,manufacturer,model
N216JB,EMBRAER,ERJ 190-100 IGW
N216WR,BOEING,737-7H4
N217JC,BOEING,737-7H4
N218FR,AIRBUS INDUSTRIE,A320-214
N218WN,BOEING,737-7H4
N219FR,AIRBUS,A320-214
N219WN,BOEING,737-7H4
N220FR,AIRBUS,A320-214
N220WN,BOEING,737-7H4
N221FR,AIRBUS,A320-214
N221WN,BOEING,737-7H4
N222WN,BOEING,737-7H4
N223FR,AIRBUS,A320-214
N223WN,BOEING,737-7H4
N224WN,BOEING,737-7H4
N225WN,BOEING,737-7H4
N226WN,BOEING,737-7H4
N227FR,AIRBUS,A320-214
N227WN,BOEING,737-7H4
N228FR,AIRBUS,A320-214
N228JB,EMBRAER,ERJ 190-100 IGW
N228PQ,BOMBARDIER INC,CL-600-2D24
N228WN,BOEING,737-7H4
N22909,EMBRAER,EMB-145LR
N229FR,AIRBUS,A320-214
N229JB,EMBRAER,ERJ 190-100 IGW
N229WN,BOEING,737-7H4
N230FR,AIRBUS,A320-214
N230WN,BOEING,737-7H4
N23139,EMBRAER,EMB-145XR
N231JB,EMBRAER,ERJ 190-100 IGW
N231WN,BOEING,737-7H4
N232FR,AIRBUS,A320-214
N232PQ,BOMBARDIER INC,CL-600-2D24
N232WN,BOEING,737-7H4
N233FR,AIRBUS,A320-214
N233LV,BOEING,737-7H4
N234WN,BOEING,737-7H4
N235FR,AIRBUS,A320-214
N235WN,BOEING,737-7H4
N236FR,AIRBUS,A320-214
N236JB,EMBRAER,ERJ 190-100 IGW
N236WN,BOEING,737-7H4
N23707,BOEING,737-724
N23708,BOEING,737-724
N23721,BOEING,737-724
N237WN,BOEING,737-7H4
N238FR,AIRBUS,A320-214
N238JB,EMBRAER,ERJ 190-100 IGW
N238WN,BOEING,737-7H4
N239JB,EMBRAER,ERJ 190-100 IGW
N239WN,BOEING,737-7H4
N240WN,BOEING,737-7H4
N24103,EMBRAER,EMB-145XR
N241WN,BOEING,737-7H4
N24202,BOEING,737-824
N24211,BOEING,737-824
N24212,BOEING,737-824
N24224,BOEING,737-824
N242WN,BOEING,737-7H4
N243WN,BOEING,737-7H4
N244WN,BOEING,737-7H4
N245WN,BOEING,737-7H4
N246LV,BOEING,737-7H4
N24702,BOEING,737-724
N24706,BOEING,737-724
N24715,BOEING,737-724
N24729,BOEING,737-724
N24736,BOEING,737-724
N247JB,EMBRAER,ERJ 190-100 IGW
N247WN,BOEING,737-7H4
N248WN,BOEING,737-7H4
N249JB,EMBRAER,ERJ 190-100 IGW
N249WN,BOEING,737-7H4
N250WN,BOEING,737-7H4
N25134,EMBRAER,EMB-145XR
N251WN,BOEING,737-7H4
N25201,BOEING,737-824
N252WN,BOEING,737-7H4
N253WN,BOEING,737-7H4
N254WN,BOEING,737-7H4
N255WN,BOEING,737-7H4
N256WN,BOEING,737-7H4
N25705,BOEING,737-724
N257WN,BOEING,737-7H4
N258JB,EMBRAER,ERJ 190-100 IGW
N258WN,BOEING,737-7H4
N259WN,BOEING,737-7H4
N260WN,BOEING,737-7H4
N261WN,BOEING,737-7H4
N26208,BOEING,737-824
N26210,BOEING,737-824
N26215,BOEING,737-824
N26226,BOEING,737-824
N26232,BOEING,737-824
N262WN,BOEING,737-7H4
N263WN,BOEING,737-7H4
N264LV,BOEING,737-7H4
N26545,EMBRAER,EMB-145LR
N26549,EMBRAER,EMB-145LR
N265JB,EMBRAER,ERJ 190-100 IGW
N265WN,BOEING,737-7H4
N266JB,EMBRAER,ERJ 190-100 IGW
N266WN,BOEING,737-7H4
N267JB,EMBRAER,ERJ 190-100 IGW
N267WN,BOEING,737-7H4
N268WN,BOEING,737-7H4
N269WN,BOEING,737-7H4
N270WN,BOEING,737-705
N27152,EMBRAER,EMB-145XR
N27190,EMBRAER,EMB-145XR
N271LV,BOEING,737-705
N27200,EMBRAER,EMB-145XR
N27205,BOEING,737-824
N27213,BOEING,737-824
N27239,BOEING,737-824
N27246,BOEING,737-824
N272WN,BOEING,737-7H4
N273JB,EMBRAER,ERJ 190-100 IGW
N273WN,BOEING,737-7H4
N27421,BOEING,737-924ER
N27477,BOEING,737-924ER
N274JB,EMBRAER,ERJ 190-100 IGW
N274WN,BOEING,737-7H4
N275WN,BOEING,737-7H4
N276WN,BOEING,737-7H4
N27722,BOEING,737-724
N27724,BOEING,737-724
N27733,BOEING,737-724
N27734,BOEING,737-724
N277WN,BOEING,737-7H4
N278WN,BOEING,737-7H4
N279JB,EMBRAER,ERJ 190-100 IGW
N279WN,BOEING,737-7H4
N280WN,BOEING,737-7H4
N281JB,EMBRAER,ERJ 190-100 IGW
N281WN,BOEING,737-7H4
N282WN,BOEING,737-7H4
N283JB,EMBRAER,ERJ 190-100 IGW
N283WN,BOEING,737-7H4
N28457,BOEING,737-924ER
N28478,BOEING,737-924ER
N284JB,EMBRAER,ERJ 190-100 IGW
N284WN,BOEING,737-7H4
N285WN,BOEING,737-7H4
N286WN,BOEING,737-7H4
N287WN,BOEING,737-7H4
N288WN,BOEING,737-7H4
N289CT,BOEING,737-7H4
N290WN,BOEING,737-7H4
N291WN,BOEING,737-7H4
N292JB,EMBRAER,ERJ 190-100 IGW
N292WN,BOEING,737-7H4
N293WN,BOEING,737-7H4
N294JB,EMBRAER,ERJ 190-100 IGW
N294WN,BOEING,737-7H4
N295WN,BOEING,737-7H4
N296JB,EMBRAER,ERJ 190-100 IGW
N296WN,BOEING,737-7H4
N29717,BOEING,737-724
N297WN,BOEING,737-7H4
N298JB,EMBRAER,ERJ 190-100 IGW
N298WN,BOEING,737-7H4
N29906,EMBRAER,EMB-145LR
N29917,EMBRAER,EMB-145LR
N299WN,BOEING,737-7H4
N301DQ,BOEING,737-732
N301FR,AIRBUS,A320-251N
N301NB,AIRBUS INDUSTRIE,A319-114
N302DN,AIRBUS,A321-211
N302NB,AIRBUS INDUSTRIE,A319-114
N303DN,AIRBUS,A321-211
N303FR,AIRBUS,A320-251N
N304DN,AIRBUS,A321-211
N304FR,AIRBUS,A320-251N
N304JB,EMBRAER,ERJ 190-100 IGW
N305DN,AIRBUS,A321-211
N305FR,AIRBUS,A320-251N
N306DN,AIRBUS,A321-211
N306JB,EMBRAER,ERJ 190-100 IGW
N307DQ,BOEING,737-732
N307DX,AIRBUS,A321-211
N307FR,AIRBUS,A320-251N
N307JB,EMBRAER,ERJ 190-100 IGW
N308DN,AIRBUS,A321-211
N308FR,AIRBUS,A320-251N
N309DE,BOEING,737-732
N309DN,AIRBUS,A321-211
N309FR,AIRBUS,A320-251N
N309JB,EMBRAER,ERJ 190-100 IGW
N309US,AIRBUS INDUSTRIE,A320-211
N310DN,AIRBUS,A321-211
N310FR,AIRBUS,A320-251N
N310NW,AIRBUS INDUSTRIE,A320-211
N31131,EMBRAER,EMB-145XR
N311DN,AIRBUS,A321-211
N311FR,AIRBUS,A320-251N
N311US,AIRBUS INDUSTRIE,A320-211
N312DN,AIRBUS,A321-211
N312US,AIRBUS INDUSTRIE,A320-211
N313DN,AIRBUS,A321-211
N313US,AIRBUS INDUSTRIE,A320-211
N314DN,AIRBUS,A321-211
N314NB,AIRBUS INDUSTRIE,A319-114
N314US,AIRBUS INDUSTRIE,A320-211
N315DN,AIRBUS,A321-211
N315NB,AIRBUS INDUSTRIE,A319-114
N315US,AIRBUS INDUSTRIE,A320-211
N316DN,AIRBUS,A321-211
N316JB,EMBRAER,ERJ 190-100 IGW
N316NB,AIRBUS INDUSTRIE,A319-114
N316US,AIRBUS INDUSTRIE,A320-211
N317DN,AIRBUS,A321-211
N317JB,EMBRAER,ERJ 190-100 IGW
N317NB,AIRBUS INDUSTRIE,A319-114
N317US,AIRBUS INDUSTRIE,A320-211
N317WN,BOEING,737-3Q8
N318DX,AIRBUS,A321-211
N318JB,EMBRAER,ERJ 190-100 IGW
N318NB,AIRBUS INDUSTRIE,A319-114
N318US,AIRBUS INDUSTRIE,A320-211
N319DN,AIRBUS,A321-211
N319NB,AIRBUS INDUSTRIE,A319-114
N319US,AIRBUS INDUSTRIE,A320-211
N320DN,AIRBUS,A321-211
N320NB,AIRBUS INDUSTRIE,A319-114
N320US,AIRBUS INDUSTRIE,A320-211
N321DH,AIRBUS,A321-211
N321NB,AIRBUS INDUSTRIE,A319-114
N321US,AIRBUS INDUSTRIE,A320-211
N322DN,AIRBUS,A321-211
N322NB,AIRBUS INDUSTRIE,A319-114
N322US,AIRBUS INDUSTRIE,A320-211
N323JB,EMBRAER,ERJ 190-100 IGW
N323NB,AIRBUS INDUSTRIE,A319-114
N323US,AIRBUS INDUSTRIE,A320-211
N324DX,AIRBUS,A321-211
N324JB,EMBRAER,ERJ 190-100 IGW
N324NB,AIRBUS INDUSTRIE,A319-114
N324US,AIRBUS INDUSTRIE,A320-211
N325NB,AIRBUS INDUSTRIE,A319-114
N325US,AIRBUS INDUSTRIE,A320-211
N326NB,AIRBUS INDUSTRIE,A319-114
N326US,AIRBUS INDUSTRIE,A320-211
N327NB,AIRBUS INDUSTRIE,A319-114
N327NW,AIRBUS INDUSTRIE,A320-211
N328JB,EMBRAER,ERJ 190-100 IGW
N328NB,AIRBUS INDUSTRIE,A319-114
N328NW,AIRBUS INDUSTRIE,A320-211
N329JB,EMBRAER,ERJ 190-100 IGW
N329NB,AIRBUS INDUSTRIE,A319-114
N329NW,AIRBUS INDUSTRIE,A320-211
N330NB,AIRBUS INDUSTRIE,A319-114
N330NW,AIRBUS INDUSTRIE,A320-211
N33182,EMBRAER,EMB-145XR
N331NB,AIRBUS INDUSTRIE,A319-114
N331NW,AIRBUS INDUSTRIE,A320-211
N33203,BOEING,737-824
N33209,BOEING,737-824
N33262,BOEING,737-824
N33264,BOEING,737-824
N33266,BOEING,737-824
N33284,BOEING,737-824
N33286,BOEING,737-824
N33289,BOEING,737-824
N33292,BOEING,737-824
N332NB,AIRBUS INDUSTRIE,A319-114
N332NW,AIRBUS INDUSTRIE,A320-211
N333NB,AIRBUS INDUSTRIE,A319-114
N333NW,AIRBUS INDUSTRIE,A320-211
N334JB,EMBRAER,ERJ 190-100 IGW
N334NB,AIRBUS INDUSTRIE,A319-114
N334NW,AIRBUS INDUSTRIE,A320-212
N335NB,AIRBUS INDUSTRIE,A319-114
N335NW,AIRBUS INDUSTRIE,A320-212
