dt,CalendarYear,Day,Time,Avg Total Time,Max Total Time,Max # of PAX in Line
2017-06-08 14:25:00,2017,2017-06-08,14:25:00,4,4,21
2017-06-08 14:30:00,2017,2017-06-08,14:30:00,4,4,20
2017-06-08 14:35:00,2017,2017-06-08,14:35:00,5,6,34
2017-06-08 14:40:00,2017,2017-06-08,14:40:00,6,7,41
2017-06-08 14:45:00,2017,2017-06-08,14:45:00,7,9,51
2017-06-08 14:50:00,2017,2017-06-08,14:50:00,9,13,70
2017-06-08 14:55:00,2017,2017-06-08,14:55:00,9,13,69
2017-06-08 15:00:00,2017,2017-06-08,15:00:00,11,12,68
2017-06-08 15:05:00,2017,2017-06-08,15:05:00,9,12,66
2017-06-08 15:10:00,2017,2017-06-08,15:10:00,9,10,54
2017-06-08 15:15:00,2017,2017-06-08,15:15:00,9,11,60
2017-06-08 15:20:00,2017,2017-06-08,15:20:00,8,10,58
2017-06-08 15:25:00,2017,2017-06-08,15:25:00,10,11,60
2017-06-08 15:30:00,2017,2017-06-08,15:30:00,9,10,57
2017-06-08 15:35:00,2017,2017-06-08,15:35:00,10,10,58
2017-06-08 15:40:00,2017,2017-06-08,15:40:00,8,11,63
2017-06-08 15:45:00,2017,2017-06-08,15:45:00,9,11,62
2017-06-08 15:50:00,2017,2017-06-08,15:50:00,11,13,71
2017-06-08 15:55:00,2017,2017-06-08,15:55:00,9,10,53
2017-06-08 16:00:00,2017,2017-06-08,16:00:00,9,10,56
2017-06-08 16:05:00,2017,2017-06-08,16:05:00,8,10,53
2017-06-08 16:10:00,2017,2017-06-08,16:10:00,10,10,55
2017-06-08 16:15:00,2017,2017-06-08,16:15:00,9,11,61
2017-06-08 16:20:00,2017,2017-06-08,16:20:00,11,12,64
2017-06-08 16:25:00,2017,2017-06-08,16:25:00,10,10,57
2017-06-08 16:30:00,2017,2017-06-08,16:30:00,11,11,63
2017-06-08 16:35:00,2017,2017-06-08,16:35:00,11,12,66
2017-06-08 16:40:00,2017,2017-06-08,16:40:00,11,11,63
2017-06-08 16:45:00,2017,2017-06-08,16:45:00,13,14,77
2017-06-08 16:50:00,2017,2017-06-08,16:50:00,11,12,66
2017-06-08 16:55:00,2017,2017-06-08,16:55:00,9,11,62
2017-06-08 17:00:00,2017,2017-06-08,17:00:00,12,13,71
2017-06-08 17:05:00,2017,2017-06-08,17:05:00,10,11,61
2017-06-08 17:10:00,2017,2017-06-08,17:10:00,10,11,60
2017-06-08 17:15:00,2017,2017-06-08,17:15:00,10,11,60
2017-06-08 17:20:00,2017,2017-06-08,17:20:00,10,11,59
2017-06-08 17:25:00,2017,2017-06-08,17:25:00,10,11,61
2017-06-08 17:30:00,2017,2017-06-08,17:30:00,10,13,70
2017-06-08 17:35:00,2017,2017-06-08,17:35:00,10,11,60
2017-06-08 17:40:00,2017,2017-06-08,17:40:00,11,11,61
2017-06-08 17:45:00,2017,2017-06-08,17:45:00,12,14,78
2017-06-08 17:50:00,2017,2017-06-08,17:50:00,15,18,93
2017-06-08 17:55:00,2017,2017-06-08,17:55:00,15,16,84
2017-06-08 18:00:00,2017,2017-06-08,18:00:00,13,16,83
2017-06-08 18:05:00,2017,2017-06-08,18:05:00,14,15,79
2017-06-08 18:10:00,2017,2017-06-08,18:10:00,13,15,80
2017-06-08 18:15:00,2017,2017-06-08,18:15:00,14,16,83
2017-06-08 18:20:00,2017,2017-06-08,18:20:00,12,14,75
2017-06-08 18:25:00,2017,2017-06-08,18:25:00,11,13,70
2017-06-08 18:30:00,2017,2017-06-08,18:30:00,10,11,63
2017-06-08 18:35:00,2017,2017-06-08,18:35:00,5,7,42
2017-06-08 18:40:00,2017,2017-06-08,18:40:00,3,4,17
2017-06-08 18:45:00,2017,2017-06-08,18:45:00,3,4,17
2017-06-08 18:50:00,2017,2017-06-08,18:50:00,3,3,14
2017-06-08 18:55:00,2017,2017-06-08,18:55:00,3,6,34
2017-06-08 19:00:00,2017,2017-06-08,19:00:00,8,8,49
2017-06-08 19:05:00,2017,2017-06-08,19:05:00,8,10,58
2017-06-08 19:10:00,2017,2017-06-08,19:10:00,8,9,50
2017-06-08 19:15:00,2017,2017-06-08,19:15:00,8,10,55
2017-06-08 19:20:00,2017,2017-06-08,19:20:00,9,11,61
2017-06-08 19:25:00,2017,2017-06-08,19:25:00,11,12,64
2017-06-08 19:30:00,2017,2017-06-08,19:30:00,10,10,57
2017-06-08 19:35:00,2017,2017-06-08,19:35:00,7,9,51
2017-06-08 19:40:00,2017,2017-06-08,19:40:00,5,6,33
2017-06-08 19:45:00,2017,2017-06-08,19:45:00,5,6,31
2017-06-08 19:50:00,2017,2017-06-08,19:50:00,6,7,42
2017-06-08 19:55:00,2017,2017-06-08,19:55:00,11,14,78
2017-06-08 20:00:00,2017,2017-06-08,20:00:00,15,16,83
2017-06-08 20:05:00,2017,2017-06-08,20:05:00,11,13,69
2017-06-08 20:10:00,2017,2017-06-08,20:10:00,5,7,40
2017-06-08 20:15:00,2017,2017-06-08,20:15:00,3,4,18
2017-06-08 20:20:00,2017,2017-06-08,20:20:00,5,5,29
2017-06-08 20:25:00,2017,2017-06-08,20:25:00,9,12,65
2017-06-08 20:30:00,2017,2017-06-08,20:30:00,13,16,83
2017-06-08 20:35:00,2017,2017-06-08,20:35:00,14,16,86
2017-06-08 20:40:00,2017,2017-06-08,20:40:00,15,16,86
2017-06-08 20:45:00,2017,2017-06-08,20:45:00,12,13,72
2017-06-08 20:50:00,2017,2017-06-08,20:50:00,12,13,72
2017-06-08 20:55:00,2017,2017-06-08,20:55:00,11,12,68
2017-06-08 21:00:00,2017,2017-06-08,21:00:00,10,12,66
2017-06-08 21:05:00,2017,2017-06-08,21:05:00,12,13,70
2017-06-08 21:10:00,2017,2017-06-08,21:10:00,11,13,70
2017-06-08 21:15:00,2017,2017-06-08,21:15:00,11,13,69
2017-06-08 21:20:00,2017,2017-06-08,21:20:00,12,14,76
2017-06-08 21:25:00,2017,2017-06-08,21:25:00,12,13,72
2017-06-08 21:30:00,2017,2017-06-08,21:30:00,9,10,58
2017-06-08 21:35:00,2017,2017-06-08,21:35:00,11,13,71
2017-06-08 21:40:00,2017,2017-06-08,21:40:00,11,12,68
2017-06-08 21:45:00,2017,2017-06-08,21:45:00,10,12,67
2017-06-08 21:50:00,2017,2017-06-08,21:50:00,10,13,69
2017-06-08 21:55:00,2017,2017-06-08,21:55:00,10,12,66
2017-06-08 22:00:00,2017,2017-06-08,22:00:00,12,13,73
2017-06-08 22:05:00,2017,2017-06-08,22:05:00,13,14,77
2017-06-08 22:10:00,2017,2017-06-08,22:10:00,11,13,71
2017-06-08 22:15:00,2017,2017-06-08,22:15:00,11,11,62
2017-06-08 22:20:00,2017,2017-06-08,22:20:00,14,16,85
2017-06-08 22:25:00,2017,2017-06-08,22:25:00,11,13,73
2017-06-08 22:30:00,2017,2017-06-08,22:30:00,9,10,57
2017-06-08 22:35:00,2017,2017-06-08,22:35:00,8,10,57
2017-06-08 22:40:00,2017,2017-06-08,22:40:00,6,7,37
2017-06-08 22:45:00,2017,2017-06-08,22:45:00,6,7,38
2017-06-08 22:50:00,2017,2017-06-08,22:50:00,3,4,20
2017-06-08 22:55:00,2017,2017-06-08,22:55:00,3,4,18
2017-06-08 23:00:00,2017,2017-06-08,23:00:00,4,6,31
2017-06-08 23:05:00,2017,2017-06-08,23:05:00,4,5,26
2017-06-08 23:10:00,2017,2017-06-08,23:10:00,4,4,18
2017-06-08 23:15:00,2017,2017-06-08,23:15:00,3,4,20
2017-06-08 23:20:00,2017,2017-06-08,23:20:00,3,3,13
2017-06-08 23:25:00,2017,2017-06-08,23:25:00,2,2,9
2017-06-08 23:30:00,2017,2017-06-08,23:30:00,5,7,40
2017-06-08 23:35:00,2017,2017-06-08,23:35:00,5,6,36
2017-06-08 23:40:00,2017,2017-06-08,23:40:00,3,3,13
2017-06-08 23:45:00,2017,2017-06-08,23:45:00,3,3,16
2017-06-08 23:50:00,2017,2017-06-08,23:50:00,2,2,9
2017-06-08 23:55:00,2017,2017-06-08,23:55:00,2,3,11
2017-06-09 00:00:00,2017,2017-06-09,00:00:00,2,2,7
2017-06-09 00:05:00,2017,2017-06-09,00:05:00,1,2,7
2017-06-09 00:10:00,2017,2017-06-09,00:10:00,2,2,7
2017-06-09 00:15:00,2017,2017-06-09,00:15:00,2,2,7
2017-06-09 00:20:00,2017,2017-06-09,00:20:00,2,2,8
2017-06-09 00:25:00,2017,2017-06-09,00:25:00,2,2,8
2017-06-09 00:30:00,2017,2017-06-09,00:30:00,1,1,5
2017-06-09 00:35:00,2017,2017-06-09,00:35:00,1,2,6
2017-06-09 00:40:00,2017,2017-06-09,00:40:00,1,1,5
2017-06-09 00:45:00,2017,2017-06-09,00:45:00,1,1,5
2017-06-09 00:50:00,2017,2017-06-09,00:50:00,1,2,6
2017-06-09 00:55:00,2017,2017-06-09,00:55:00,1,1,5
2017-06-09 01:00:00,2017,2017-06-09,01:00:00,1,1,5
2017-06-09 01:05:00,2017,2017-06-09,01:05:00,1,1,5
