,airline,manufacturer,model
N16987,EMB-145LR,EMBRAER,EMB-145LR
N16999,EMB-145LR,EMBRAER,EMB-145LR
N169UW,A321-211,AIRBUS INDUSTRIE,A321-211
N170US,A321-211,AIRBUS INDUSTRIE,A321-211
N17108,EMB-145XR,EMBRAER,EMB-145XR
N17115,EMB-145XR,EMBRAER,EMB-145XR
N17138,EMB-145XR,EMBRAER,EMB-145XR
N17146,EMB-145XR,EMBRAER,EMB-145XR
N17159,EMB-145XR,EMBRAER,EMB-145XR
N17169,EMB-145XR,EMBRAER,EMB-145XR
N17185,EMB-145XR,EMBRAER,EMB-145XR
N17196,EMB-145XR,EMBRAER,EMB-145XR
N171AA,510,CESSNA,510
N171SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N171US,A321-211,AIRBUS INDUSTRIE,A321-211
N17229,737-824,BOEING,737-824
N17233,737-824,BOEING,737-824
N17244,737-824,BOEING,737-824
N17245,737-824,BOEING,737-824
N172AA,180,CESSNA,180
N172US,A321-211,AIRBUS INDUSTRIE,A321-211
N173AA,550,CESSNA,550
N173SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N173US,A321-211,AIRBUS INDUSTRIE,A321-211
N174AA,757-223,BOEING,757-223
N174SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N174US,A321-211,AIRBUS INDUSTRIE,A321-211
N17560,EMB-145LR,EMBRAER,EMB-145LR
N175SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N176AA,757-223,BOEING,757-223
N176PQ,CL-600-2D24,BOMBARDIER INC,CL-600-2D24
N176SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N176UW,A321-211,AIRBUS INDUSTRIE,A321-211
N17719,737-724,BOEING,737-724
N17730,737-724,BOEING,737-724
N17752,737-71Q,BOEING,737-71Q
N17753,737-7V3,BOEING,737-7V3
N177SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N177US,A321-211,AIRBUS INDUSTRIE,A321-211
N178AA,757-223,BOEING,757-223
N178JB,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N178US,A321-211,AIRBUS INDUSTRIE,A321-211
N17984,EMB-145LR,EMBRAER,EMB-145LR
N179AA,757-223,BOEING,757-223
N179JB,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N179SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N179UW,A321-211,AIRBUS INDUSTRIE,A321-211
N180AA,180J,CESSNA,180J
N180US,A321-211,AIRBUS INDUSTRIE,A321-211
N181AA,PHANTOM 3 PROFESSION,DJI,PHANTOM 3 PROFESSION
N181UW,A321-211,AIRBUS INDUSTRIE,A321-211
N18220,737-824,BOEING,737-824
N18223,737-824,BOEING,737-824
N18243,737-824,BOEING,737-824
N182AA,206B,BELL,206B
N182UW,A321-211,AIRBUS INDUSTRIE,A321-211
N183AA,95,BEECH,95
N183JB,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N183SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N183UW,A321-211,AIRBUS INDUSTRIE,A321-211
N184JB,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N184US,A321-211,AIRBUS INDUSTRIE,A321-211
N18556,EMB-145LR,EMBRAER,EMB-145LR
N18557,EMB-145LR,EMBRAER,EMB-145LR
N185UW,A321-211,AIRBUS INDUSTRIE,A321-211
N186AA,POBER PIXIE,ANGER ANTHONY B,POBER PIXIE
N186PQ,CL-600-2D24,BOMBARDIER INC,CL-600-2D24
N186US,A321-211,AIRBUS,A321-211
N187AA,FALCON 2000,DASSAULT AVIATION,FALCON 2000
N187JB,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N187US,A321-211,AIRBUS,A321-211
N188AA,35-C33,BEECH,35-C33
N188US,A321-211,AIRBUS,A321-211
N189AA,K35,BEECH,K35
N189UW,A321-211,AIRBUS INDUSTRIE,A321-211
N190AA,757-223,BOEING,757-223
N190JB,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N190UW,A321-211,AIRBUS INDUSTRIE,A321-211
N191AA,K35,BEECH,K35
N191UW,A321-211,AIRBUS INDUSTRIE,A321-211
N192AA,K35,BEECH,K35
N192JB,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N192SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N192UW,A321-211,AIRBUS INDUSTRIE,A321-211
N193AA,MU-2B-60,MITSUBISHI,MU-2B-60
N193JB,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N193UW,A321-211,AIRBUS,A321-211
N194AA,757-223,BOEING,757-223
N194UW,A321-211,AIRBUS,A321-211
N19554,EMB-145LR,EMBRAER,EMB-145LR
N195AA,PA-31T,PIPER,PA-31T
N195PQ,CL-600-2D24,BOMBARDIER INC,CL-600-2D24
N195UW,A321-211,AIRBUS,A321-211
N196AA,757-223,BOEING,757-223
N196UW,A321-211,AIRBUS,A321-211
N197AA,206B,BELL,206B
N197JB,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N197UW,A321-211,AIRBUS,A321-211
N198AA,757-223,BOEING,757-223
N198JB,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N198UW,A321-211,AIRBUS,A321-211
N199AA,K35,BEECH,K35
N199UW,A321-211,AIRBUS,A321-211
N200SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N200WN,737-7H4,BOEING,737-7H4
N201FR,A320-214,AIRBUS,A320-214
N201LV,737-7H4,BOEING,737-7H4
N202FR,A320-214,AIRBUS,A320-214
N202SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N202WN,737-7H4,BOEING,737-7H4
N203FR,A320-214,AIRBUS INDUSTRIE,A320-214
N203JB,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N203SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N203WN,737-7H4,BOEING,737-7H4
N204SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N204WN,737-7H4,BOEING,737-7H4
N205FR,A320-214,AIRBUS,A320-214
N205SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N205WN,737-7H4,BOEING,737-7H4
N206FR,A320-214,AIRBUS,A320-214
N206JB,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N206SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N206WN,737-7H4,BOEING,737-7H4
N207FR,A320-214,AIRBUS,A320-214
N207SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N207WN,737-7H4,BOEING,737-7H4
N208SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N208WN,737-7H4,BOEING,737-7H4
N209SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N209WN,737-7H4,BOEING,737-7H4
N210FR,A320-214,AIRBUS,A320-214
N210WN,737-7H4,BOEING,737-7H4
N21129,EMB-145XR,EMBRAER,EMB-145XR
N21154,EMB-145XR,EMBRAER,EMB-145XR
N21197,EMB-145XR,EMBRAER,EMB-145XR
N211FR,A320-214,AIRBUS,A320-214
N211SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N211WN,737-7H4,BOEING,737-7H4
N212WN,737-7H4,BOEING,737-7H4
N213FR,A320-214,AIRBUS,A320-214
N213SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N213WN,737-7H4,BOEING,737-7H4
N214WN,737-7H4,BOEING,737-7H4
N21537,EMB-145LR,EMBRAER,EMB-145LR
N215WN,737-7H4,BOEING,737-7H4
N216FR,A320-214,AIRBUS,A320-214
N216JB,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N216WR,737-7H4,BOEING,737-7H4
N217JC,737-7H4,BOEING,737-7H4
N218FR,A320-214,AIRBUS INDUSTRIE,A320-214
