num_pickups,num_passengers,yr,mnth,d,hr
5,12,2014,2,2,1
3,3,2014,2,2,2
3,4,2014,2,2,3
3,7,2014,2,2,4
3,3,2014,2,2,5
9,22,2014,2,2,6
5,7,2014,2,2,7
80,116,2014,2,2,8
108,185,2014,2,2,9
208,288,2014,2,2,10
242,377,2014,2,2,11
319,504,2014,2,2,12
271,456,2014,2,2,13
453,758,2014,2,2,14
435,732,2014,2,2,15
543,934,2014,2,2,16
551,966,2014,2,2,17
650,1146,2014,2,2,18
427,740,2014,2,2,19
574,964,2014,2,2,20
584,1006,2014,2,2,21
361,640,2014,2,2,22
500,829,2014,2,2,23
161,295,2014,2,3,0
10,11,2014,2,3,1
6,13,2014,2,3,2
7,9,2014,2,3,3
16,28,2014,2,3,4
34,41,2014,2,3,5
43,76,2014,2,3,6
179,262,2014,2,3,7
160,245,2014,2,3,8
271,449,2014,2,3,9
407,593,2014,2,3,10
334,528,2014,2,3,11
455,757,2014,2,3,12
368,666,2014,2,3,13
285,493,2014,2,3,14
553,904,2014,2,3,15
408,703,2014,2,3,16
510,878,2014,2,3,17
607,1023,2014,2,3,18
647,1176,2014,2,3,19
789,1314,2014,2,3,20
928,1579,2014,2,3,21
840,1347,2014,2,3,22
747,1306,2014,2,3,23
358,584,2014,2,4,0
127,220,2014,2,4,1
41,70,2014,2,4,2
9,19,2014,2,4,3
29,69,2014,2,4,4
60,123,2014,2,4,5
82,133,2014,2,4,6
327,521,2014,2,4,7
596,928,2014,2,4,8
672,1107,2014,2,4,9
815,1370,2014,2,4,10
740,1226,2014,2,4,11
648,1128,2014,2,4,12
575,1005,2014,2,4,13
592,1020,2014,2,4,14
578,983,2014,2,4,15
559,890,2014,2,4,16
515,919,2014,2,4,17
676,1110,2014,2,4,18
579,992,2014,2,4,19
343,562,2014,2,4,20
251,436,2014,2,4,21
164,260,2014,2,4,22
18,34,2014,2,4,23
31,39,2014,2,5,0
5,5,2014,2,5,1
1,6,2014,2,5,2
3,3,2014,2,5,3
2,7,2014,2,5,4
8,11,2014,2,5,5
23,35,2014,2,5,6
16,26,2014,2,5,7
22,32,2014,2,5,8
13,17,2014,2,5,9
13,15,2014,2,5,10
71,101,2014,2,5,11
146,232,2014,2,5,12
339,523,2014,2,5,13
454,736,2014,2,5,14
466,752,2014,2,5,15
464,754,2014,2,5,16
456,805,2014,2,5,17
561,905,2014,2,5,18
463,756,2014,2,5,19
502,799,2014,2,5,20
648,1170,2014,2,5,21
581,977,2014,2,5,22
370,656,2014,2,5,23
222,357,2014,2,6,0
12,12,2014,2,6,1
13,28,2014,2,6,2
5,8,2014,2,6,3
8,23,2014,2,6,4
27,47,2014,2,6,5
57,111,2014,2,6,6
139,220,2014,2,6,7
397,622,2014,2,6,8
405,614,2014,2,6,9
539,936,2014,2,6,10
465,762,2014,2,6,11
488,851,2014,2,6,12
