,tail_number,airline,manufacturer,model,manufacturer_short,model_short,manufacturer_model,seats
1592,N660NK,SPIRIT AIRLINES INC,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
1593,N661AA,UPNORTH LLC,ROBERT D WHITE,AIRCAM,ROBERT,AIRCAM,ROBERT AIRCAM,
1594,N661AW,U S BANK NA TRUSTEE,AIRBUS INDUSTRIE,A320-232,AIRBUS,A320,AIRBUS A320,156.0
1595,N661DN,BANK OF UTAH TRUSTEE,BOEING,757-232,BOEING,757,BOEING 757,184.0
1596,N661JB,JETBLUE AIRWAYS CORP,AIRBUS,A320-232,AIRBUS,A320,AIRBUS A320,156.0
1597,N661NK,SPIRIT AIRLINES INC,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
1598,N662AA,AMERICAN AIRLINES INC,BOEING,757-223,BOEING,757,BOEING 757,184.0
1599,N662JB,JETBLUE AIRWAYS CORP,AIRBUS,A320-232,AIRBUS,A320,AIRBUS A320,156.0
1600,N662NK,SPIRIT AIRLINES INC,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
1601,N663AA,HYANNIS AIR SERVICE INC,CESSNA,402C,CESSNA,402C,CESSNA 402C,
1602,N663JB,JETBLUE AIRWAYS CORPORATION,AIRBUS,A320-232,AIRBUS,A320,AIRBUS A320,156.0
1603,N663NK,SPIRIT AIRLINES INC,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
1604,N664NK,SPIRIT AIRLINES INC,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
1605,N665AA,AMERICAN AIRLINES INC,BOEING,757-223,BOEING,757,BOEING 757,184.0
1606,N665AW,U S BANK NA TRUSTEE,AIRBUS INDUSTRIE,A320-232,AIRBUS,A320,AIRBUS A320,156.0
1607,N665JB,JETBLUE AIRWAYS CORP,AIRBUS,A320-232,AIRBUS,A320,AIRBUS A320,156.0
1608,N665NK,SPIRIT AIRLINES INC,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
1609,N667AW,U S BANK NA TRUSTEE,AIRBUS INDUSTRIE,A320-232,AIRBUS,A320,AIRBUS A320,156.0
1610,N667NK,SPIRIT AIRLINES INC,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
1611,N66803,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1612,N66808,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1613,N66814,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1614,N66825,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1615,N66828,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1616,N66831,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1617,N66837,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1618,N66841,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1619,N66848,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1620,N66893,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1621,N66897,UNITED AIRLINES INC,BOEING,737-900ER,BOEING,737,BOEING 737,150.0
1622,N668AA,AMERICAN AIRLINES INC,BOEING,757-223,BOEING,757,BOEING 757,184.0
1623,N668AW,U S BANK NA TRUSTEE,AIRBUS,A320-232,AIRBUS,A320,AIRBUS A320,156.0
1624,N668DN,WILMINGTON TRUST COMPANY TRUSTEE,BOEING,757-232,BOEING,757,BOEING 757,184.0
1625,N668NK,SPIRIT AIRLINES INC,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
1626,N669AA,BANK OF UTAH TRUSTEE,BOEING,757-223,BOEING,757,BOEING 757,184.0
1627,N669AW,U S BANK NA TRUSTEE,AIRBUS,A320-232,AIRBUS,A320,AIRBUS A320,156.0
1628,N669DN,DELTA AIR LINES INC,BOEING,757-232,BOEING,757,BOEING 757,184.0
1629,N669NK,SPIRIT AIRLINES INC,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
1630,N6706Q,DELTA AIR LINES INC,BOEING,757-232,BOEING,757,BOEING 757,184.0
1631,N670NK,SPIRIT AIRLINES INC,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
1632,N6710E,DELTA AIR LINES INC,BOEING,757-232,BOEING,757,BOEING 757,184.0
1633,N6711M,DELTA AIR LINES INC,BOEING,757-232,BOEING,757,BOEING 757,184.0
1634,N67171,DELTA AIR LINES INC,BOEING,757-232,BOEING,757,BOEING 757,184.0
1635,N671NK,SPIRIT AIRLINES INC,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
1636,N672AA,AMERICAN AIRLINES INC,BOEING,757-223,BOEING,757,BOEING 757,184.0
1637,N672NK,SPIRIT AIRLINES INC,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
1638,N673NK,SPIRIT AIRLINES INC,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
1639,N674NK,SPIRIT AIRLINES INC,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
1640,N675DL,WILMINGTON TRUST CO OWNER TRUSTEE,BOEING,757-232,BOEING,757,BOEING 757,184.0
1641,N675NK,SPIRIT AIRLINES INC,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
1642,N676CA,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24,BOMBARDIER,CL,BOMBARDIER CL,65.0
1643,N676DL,DELTA AIR LINES INC,BOEING,757-232,BOEING,757,BOEING 757,184.0
1644,N676NK,SPIRIT AIRLINES INC,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
1645,N677NK,SPIRIT AIRLINES INC,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
1646,N67812,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1647,N67815,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1648,N67827,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1649,N67845,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1650,N67846,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1651,N678CA,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24,BOMBARDIER,CL,BOMBARDIER CL,65.0
1652,N678DL,DELTA AIR LINES INC,BOEING,757-232,BOEING,757,BOEING 757,184.0
1653,N679AW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-232,AIRBUS,A320,AIRBUS A320,156.0
1654,N680AW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-232,AIRBUS,A320,AIRBUS A320,156.0
1655,N680DA,DELTA AIR LINES INC,BOEING,757-232,BOEING,757,BOEING 757,184.0
1656,N681DA,DELTA AIR LINES INC,BOEING,757-232,BOEING,757,BOEING 757,184.0
1657,N683DA,WILMINGTON TRUST CO OWNER TRUSTEE,BOEING,757-232,BOEING,757,BOEING 757,184.0
1658,N68452,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1659,N68453,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1660,N684DA,DELTA AIR LINES INC,BOEING,757-232,BOEING,757,BOEING 757,184.0
1661,N686BR,US BANK NA TRUSTEE,BOMBARDIER INC,CL-600-2B19,BOMBARDIER,CL,BOMBARDIER CL,65.0
1662,N687SW,SOUTHWEST AIRLINES CO,BOEING,737-3Q8,BOEING,737,BOEING 737,150.0
1663,N68801,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1664,N68802,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1665,N68805,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1666,N68807,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1667,N68811,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1668,N68817,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1669,N68821,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1670,N68822,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1671,N68823,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1672,N68834,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1673,N68836,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1674,N68842,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1675,N68843,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1676,N68880,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1677,N68891,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1678,N691CA,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24,BOMBARDIER,CL,BOMBARDIER CL,65.0
1679,N693DL,DELTA AIR LINES INC,BOEING,757-232,BOEING,757,BOEING 757,184.0
1680,N695CA,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24,BOMBARDIER,CL,BOMBARDIER CL,65.0
1681,N696DL,DELTA AIR LINES INC,BOEING,757-232,BOEING,757,BOEING 757,184.0
1682,N69804,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1683,N69806,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1684,N69810,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1685,N69813,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1686,N69816,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1687,N69818,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1688,N69819,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1689,N69824,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1690,N69826,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1691,N69829,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1692,N69830,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1693,N69833,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1694,N69835,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1695,N69838,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1696,N69839,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1697,N69840,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1698,N69847,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1699,N69885,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1700,N69888,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1701,N700AA,JENSEN JAY A,JENSEN JAY A,TURBO COURIER,JENSEN,TURBO COURIER,JENSEN TURBO COURIER,
1702,N700GS,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1703,N700UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1704,N701AA,TUREK AIR LLC,SMITH ROLAND W,ZENITH CH 701,SMITH,ZENITH CH 701,SMITH ZENITH CH 701,
1705,N701GS,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1706,N701UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1707,N702AA,LANTECH LEASING LLC,SOCATA,TBM 700,SOCATA,TBM 700,SOCATA TBM 700,
1708,N702UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1709,N703JB,JETBLUE AIRWAYS CORP,AIRBUS,A320-232,AIRBUS,A320,AIRBUS A320,156.0
1710,N703SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1711,N703TW,DELTA AIR LINES INC,BOEING,757-2Q8,BOEING,757,BOEING 757,184.0
1712,N703UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1713,N704AA,ALPHA AIR LLC,CESSNA,150M,CESSNA,150M,CESSNA 150M,
1714,N704SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1715,N704US,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1716,N705AA,AERO MICRONESIA INC,BOEING,727-200,BOEING,727,BOEING 727,
1717,N705JB,JETBLUE AIRWAYS CORP,AIRBUS,A320-232,AIRBUS,A320,AIRBUS A320,156.0
1718,N705SK,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOMBARDIER INC,CL-600-2C10,BOMBARDIER,CL,BOMBARDIER CL,65.0
1719,N705SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1720,N705UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1721,N706JB,JETBLUE AIRWAYS CORP,AIRBUS,A320-232,AIRBUS,A320,AIRBUS A320,156.0
1722,N706SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1723,N707EV,EXPRESSJET AIRLINES INC,BOMBARDIER INC,CL-600-2C10,BOMBARDIER,CL,BOMBARDIER CL,65.0
1724,N707SA,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1725,N708AA,ALJ ENGINES SUPPLY INC,BOEING,727-223,BOEING,727,BOEING 727,
1726,N708EV,EXPRESSJET AIRLINES INC,BOMBARDIER INC,CL-600-2C10,BOMBARDIER,CL,BOMBARDIER CL,65.0
1727,N708JB,JETBLUE AIRWAYS CORP,AIRBUS,A320-232,AIRBUS,A320,AIRBUS A320,156.0
1728,N708SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1729,N708UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1730,N709AA,BANK OF UTAH TRUSTEE,GULFSTREAM AEROSPACE,G-V,GULFSTREAM,G,GULFSTREAM G,
1731,N709EV,EXPRESSJET AIRLINES INC,BOMBARDIER INC,CL-600-2C10,BOMBARDIER,CL,BOMBARDIER CL,65.0
1732,N709JB,JETBLUE AIRWAYS CORP,AIRBUS,A320-232,AIRBUS,A320,AIRBUS A320,156.0
1733,N709SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1734,N709UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1735,N710EV,EXPRESSJET AIRLINES INC,BOMBARDIER INC,CL-600-2C10,BOMBARDIER,CL,BOMBARDIER CL,65.0
1736,N710SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1737,N710TW,DELTA AIR LINES INC,BOEING,757-2Q8,BOEING,757,BOEING 757,184.0
1738,N710UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1739,N711AA,PRO STAR AERONAUTICAL INC,BEECH,B-60,BEECH,B,BEECH B,
1740,N711HK,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1741,N711UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1742,N712EV,EXPRESSJET AIRLINES INC,BOMBARDIER INC,CL-600-2C10,BOMBARDIER,CL,BOMBARDIER CL,65.0
1743,N712JB,JETBLUE AIRWAYS CORP,AIRBUS,A320-232,AIRBUS,A320,AIRBUS A320,156.0
1744,N712SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1745,N712US,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1746,N713EV,EXPRESSJET AIRLINES INC,BOMBARDIER INC,CL-600-2C10,BOMBARDIER,CL,BOMBARDIER CL,65.0
1747,N713SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1748,N713UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1749,N714CB,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1750,N714US,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1751,N715JB,JETBLUE AIRWAYS CORP,AIRBUS,A320-232,AIRBUS,A320,AIRBUS A320,156.0
1752,N715SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1753,N715UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
