,tail_number,airline,manufacturer,model,manufacturer_short,model_short,manufacturer_model,seats
1799,N73278,UNITED AIRLINES INC,BOEING,737-824,BOEING,737,BOEING 737,150.0
1800,N73283,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
1801,N73291,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
1802,N732AA,DJCJ LLC,RAYTHEON CORPORATE JETS INC,BAE 125-800A,RAYTHEON,BAE 125,RAYTHEON BAE 125,
1803,N732SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1804,N732US,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1805,N733SA,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1806,N733UW,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1807,N73445,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1808,N734SA,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1809,N735SA,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1810,N736SA,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1811,N737AA,HOGAN THOMAS A,CESSNA,172N,CESSNA,172N,CESSNA 172N,
1812,N737JW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1813,N737US,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1814,N73860,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,757-33N,BOEING,757,BOEING 757,184.0
1815,N738CB,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1816,N738EV,EXPRESSJET AIRLINES INC,BOMBARDIER INC,CL-600-2C10,BOMBARDIER,CL,BOMBARDIER CL,65.0
1817,N738US,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1818,N739GB,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1819,N740EV,EXPRESSJET AIRLINES INC,BOMBARDIER INC,CL-600-2C10,BOMBARDIER,CL,BOMBARDIER CL,65.0
1820,N740SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1821,N740UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1822,N741EV,EXPRESSJET AIRLINES INC,BOMBARDIER INC,CL-600-2C10,BOMBARDIER,CL,BOMBARDIER CL,65.0
1823,N741SA,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
